date	positive	negative	neutral
16-Feb-01	8.1486371781571	8.8182589833066	83.033103838536
16-Feb-02	7.1780476626948	5.8890925756187	86.932859761687
16-Feb-03	7.756799577502	6.1262212833377	86.11697913916
16-Feb-04	9.9434495758718	6.9038642789821	83.152686145146
16-Feb-05	10.598512742762	7.7683921738503	81.633095083387
16-Feb-06	7.707203718048	5.2285050348567	87.064291247095
16-Feb-07	10.31054627447	5.7702162549964	83.919237470534
16-Feb-08	7.9848244220928	7.9230633492148	84.092112228692
16-Feb-09	9.1234774301409	9.0876522569859	81.788870312873
16-Feb-10	7.6124567474048	6.2530894710826	86.134453781513
16-Feb-11	6.9419862340216	5.0737463126844	87.984267453294
16-Feb-12	9.1059602649007	8.9514348785872	81.942604856512
16-Feb-13	10.418087905662	7.9426956436994	81.639216450638
16-Feb-14	10.416019869606	10.943806271344	78.64017385905
16-Feb-15	8.6359761295823	5.8653026427962	85.498721227621
16-Feb-16	10.127513487003	7.7795487984306	82.092937714566
16-Feb-17	10.100086368948	7.8697353045776	82.030178326475
16-Feb-18	9.4504280585474	7.804473902237	82.745098039216
16-Feb-19	6.5273856578204	4.2461885940147	89.226425748165
16-Feb-20	6.6517146577919	4.2106786282738	89.137606713934
16-Feb-21	8.4237165582068	5.551173338592	86.025110103201
16-Feb-22	8.5314267322636	5.7910708538324	85.677502413904
16-Feb-23	6.6004731283111	3.4585013160964	89.941025555593
16-Feb-24	5.3941908713693	4.5840742936179	90.021734835013
16-Feb-25	4.7589616810878	3.3930778739184	91.847960444994
16-Feb-26	6.6035087719298	3.7614035087719	89.635087719298
16-Feb-27	6.6194178765568	4.3005573522328	89.08002477121
16-Feb-28	7.12549647282	6.0821625466833	86.792340980497
16-Feb-29	9.7618517694191	7.1934119741821	83.044736256399
16-Mar-01	7.4737251848968	4.9046321525886	87.621642662515
16-Mar-02	4.601226993865	3.5366293756767	91.862143630458
16-Mar-03	7.3860109811411	5.8009071377417	86.813081881117
16-Mar-04	6.0085836909871	4.3466350105013	89.644781298512
16-Mar-05	6.6326530612245	3.5471331389699	89.820213799806
16-Mar-06	9.0306501219642	7.5776858627638	83.391664015272
16-Mar-07	9.4324940247902	6.7311433494525	83.836362625757
16-Mar-08	8.9832351090004	6.499971390971	84.516793500029
16-Mar-09	7.6515645371578	5.8018252933507	86.546610169492
16-Mar-10	10.563261638681	9.1817824451059	80.254955916213
16-Mar-11	10.051715347076	6.1912739456625	83.757010707262
16-Mar-12	5.78125	3.5546875	90.6640625
16-Mar-13	5.2497710855631	5.677078034388	89.073150880049
16-Mar-14	8.3972515180569	6.4717162032598	85.131032278683
16-Mar-15	7.5454591245656	5.2133178864655	87.241222988969
16-Mar-16	7.941642461051	6.1262212833377	85.932136255611
16-Mar-17	6.9094449853944	3.8675754625122	89.222979552093
16-Mar-18	9.5441352228103	5.0367082123954	85.419156564794
16-Mar-19	9.123451556686	6.9756488154114	83.900899627903
16-Mar-20	11.240117932528	4.8581939624808	83.901688104991
16-Mar-21	6.8402372180789	3.764938449097	89.394824332824
16-Mar-22	7.1481896229937	5.7502799552072	87.101530421799
16-Mar-23	6.7817509247842	5.2499288627525	87.968320212463
16-Mar-24	9.2779014616204	4.113832155648	86.608266382732
16-Mar-25	8.4812946340824	4.4486667103453	87.070038655572
16-Mar-26	8.4580033245331	2.8975587497148	88.644437925752
16-Mar-27	10.292310158713	4.9778229038636	84.729866937423
16-Mar-28	7.8676470588235	3.5447303921569	88.58762254902
16-Mar-29	7.4412633200668	4.5859545512903	87.972782128643
16-Mar-30	6.8429979857946	3.7686844058094	89.388317608396
16-Mar-31	7.6114763568344	3.0506423128765	89.337881330289
