date	none	for	against
16-Feb-01	79.920777138546	2.6313307554466	17.447892106008
16-Feb-02	78.998625114574	2.4518790100825	18.549495875344
16-Feb-03	78.604436229205	3.0235014523369	18.372062318458
16-Feb-04	77.316996544141	2.6704366949419	20.012566760917
16-Feb-05	77.683921738503	2.4330373258249	19.883040935673
16-Feb-06	78.156467854376	2.1301316808675	19.713400464756
16-Feb-07	68.115199344061	3.2899456800246	28.594854975915
16-Feb-08	73.12511028763	2.2939827068996	24.58090700547
16-Feb-09	77.800334368283	1.8987341772152	20.300931454502
16-Feb-10	78.756796836382	1.9896193771626	19.253583786456
16-Feb-11	77.16814159292	2.0452310717797	20.7866273353
16-Feb-12	74.194260485651	2.7593818984547	23.046357615894
16-Feb-13	76.49351915018	2.2220056524705	21.284475197349
16-Feb-14	76.730828935113	2.3439925488979	20.925178515989
16-Feb-15	79.24978687127	2.1483375959079	18.601875532822
16-Feb-16	78.862187346739	2.4399215301618	18.6978911231
16-Feb-17	75.958949347152	2.6063100137174	21.43474063913
16-Feb-18	78.315382491025	2.5075945871306	19.177022921845
16-Feb-19	79.689440993789	2.9305477131564	17.380011293055
16-Feb-20	79.934886412965	4.5434814064535	15.521632180582
16-Feb-21	73.570301715638	4.1099717347006	22.319726549661
16-Feb-22	75.005747390685	3.7312060324613	21.263046576854
16-Feb-23	74.644320794322	3.8416686102689	21.514010595409
16-Feb-24	73.523019166173	3.6356451294211	22.841335704406
16-Feb-25	72.836835599506	2.1199011124845	25.04326328801
16-Feb-26	75.761403508772	1.6140350877193	22.624561403509
16-Feb-27	73.192045689121	3.0138305924448	23.794123718434
16-Feb-28	73.910723812911	2.8632402632047	23.226035923884
16-Feb-29	76.002670821278	2.7999109726241	21.197418206098
16-Mar-01	77.91358505255	2.4912417282989	19.595173219151
