date	english	french	italia	deutche	spanish
16-Feb-01	99.877393190606	0	0	0.075450344242196	0.047156465151372
16-Feb-02	99.942713107241	0.011457378551787	0.0057286892758937	0.028643446379468	0.011457378551787
16-Feb-03	99.894375495115	0.019804594665963	0.013203063110642	0.052812252442567	0.019804594665963
16-Feb-04	99.921457744266	0.015708451146717	0.015708451146717	0.047125353440151	0
16-Feb-05	99.942242437369	0.036098476644286	0	0.021659085986571	0
16-Feb-06	99.903175832688	0.038729666924864	0	0	0.058094500387297
16-Feb-07	99.948754740187	0.010249051962693	0	0.040996207850774	0
16-Feb-08	99.9205929063	0.017646020822305	0.0088230104111523	0.044115052055761	0.0088230104111523
16-Feb-09	99.92834965369	0.023883448770002	0	0.035825173155004	0.011941724385001
16-Feb-10	99.938210578349	0.024715768660405	0.024715768660405	0	0.012357884330203
16-Feb-11	99.862340216323	0	0	0.13765978367748	0
16-Feb-12	99.922737306843	0.066225165562914	0	0.011037527593819	0
16-Feb-13	99.91228925056	0.058473832959751	0	0.01949127765325	0.0097456388266251
16-Feb-14	99.89133809376	0.031046258925799	0.0155231294629	0.046569388388699	0.0155231294629
16-Feb-15	99.880647911338	0.059676044330776	0.0085251491901108	0.042625745950554	0.0085251491901108
16-Feb-16	99.822216772928	0.055174104953409	0.012260912211869	0.098087297694949	0.012260912211869
16-Feb-17	99.827262104354	0.035563684397704	0.015241579027587	0.10669105319311	0.015241579027587
16-Feb-18	99.84534658934	0.044186688760011	0	0.10494338580503	0.0055233360950014
16-Feb-19	99.734613212874	0.062111801242236	0.011293054771316	0.11857707509881	0.073404856013552
16-Feb-20	99.797424395891	0.037621183620315	0.018810591810158	0.1316741426711	0.014469686007814
